66 122 26 237 135 55 268 257	284_285_286	PRECONDITION
77	83_84_85	FALLING_ACTION
22 95	66 122 26 237 135 55 268 257	FALLING_ACTION
66 122 26 237 135 55 268 257	144	FALLING_ACTION
209	221	PRECONDITION
202	209	FALLING_ACTION
205	209	FALLING_ACTION
66 122 26 237 135 55 268 257	77	PRECONDITION
66 122 26 237 135 55 268 257	161_162	PRECONDITION
209	216	PRECONDITION
251	66 122 26 237 135 55 268 257	PRECONDITION
37	66 122 26 237 135 55 268 257	FALLING_ACTION
66 122 26 237 135 55 268 257	262_263_264	FALLING_ACTION
114	66 122 26 237 135 55 268 257	FALLING_ACTION
66 122 26 237 135 55 268 257	22 95	PRECONDITION
117	66 122 26 237 135 55 268 257	FALLING_ACTION
66 122 26 237 135 55 268 257	151 228	FALLING_ACTION
240	66 122 26 237 135 55 268 257	FALLING_ACTION
